#{"t_start": 1622658581.794474, "env_id": "HalfCheetah-v2"}
r,l,t
1065.473789,1000,714.971294
846.340487,1000,716.714294
577.202011,1000,717.308065
886.695329,1000,719.040087
986.835392,1000,719.637574
925.62163,1000,721.391982
940.435783,1000,721.991408
990.626739,1000,723.755631
1025.568305,1000,724.357885
784.632028,1000,726.102563
728.75321,1000,726.718927
532.557695,1000,728.475597
868.025187,1000,729.078563
871.625567,1000,730.832831
741.351032,1000,731.439805
986.783982,1000,733.190918
548.945979,1000,733.794565
1054.056917,1000,735.541104
853.834161,1000,736.139701
1001.516498,1000,737.924759
1014.690459,1000,738.565232
898.918257,1000,739.191187
959.54373,1000,740.952052
952.492195,1000,741.550644
698.737992,1000,743.303793
915.777136,1000,743.900833
1004.20883,1000,745.6575
1051.702137,1000,746.248466
976.198164,1000,747.990192
1033.529844,1000,748.589442
696.413438,1000,750.32515
1018.522477,1000,750.919474
975.500972,1000,752.681141
1032.581952,1000,753.274134
1065.245653,1000,755.018452
909.015688,1000,755.623943
979.743483,1000,757.374899
900.912306,1000,757.970679
935.004948,1000,759.716659
911.439771,1000,760.305997
967.522211,1000,762.044742
1006.565419,1000,762.657211
921.444109,1000,764.402027
1035.780385,1000,764.998727
467.387388,1000,766.739324
1000.415957,1000,767.340646
880.744222,1000,769.10286
1105.399731,1000,769.698698
960.345983,1000,771.43207
711.948596,1000,772.022666
655.752407,1000,773.780215
1010.17906,1000,774.374746
1002.615347,1000,776.2086
966.258882,1000,776.819197
1044.834133,1000,778.556539
993.023109,1000,779.155213
992.714897,1000,780.909618
1026.373493,1000,781.510194
983.920428,1000,783.268147
332.957934,1000,783.866767
951.498339,1000,785.606186
932.578905,1000,786.206148
723.76785,1000,787.952525
896.180349,1000,788.547376
917.994172,1000,789.143578
1045.754139,1000,790.893781
1022.818342,1000,791.493524
979.424668,1000,793.240013
1027.465566,1000,793.837475
754.733174,1000,795.57859
988.355898,1000,796.170619
1096.596419,1000,797.915146
1089.119431,1000,798.544462
1044.916383,1000,800.358018
1079.044232,1000,800.955486
847.251088,1000,802.713245
731.736941,1000,803.312217
989.954865,1000,805.050535
113.956077,1000,805.640469
902.77178,1000,807.462026
1088.787806,1000,808.059264
762.632751,1000,809.821999
1089.065731,1000,810.415416
644.294902,1000,812.186033
709.686059,1000,812.798348
819.579263,1000,814.540355
1035.428657,1000,815.178398
1034.633295,1000,816.989353
1029.819166,1000,817.585244
752.826603,1000,819.328188
706.881252,1000,819.925831
994.666675,1000,821.672582
821.931006,1000,822.293485
957.96613,1000,824.05666
1151.790214,1000,824.652889
1038.494051,1000,826.399329
394.175213,1000,826.998086
1123.969581,1000,828.773984
998.507951,1000,829.37056
1070.814852,1000,831.12139
724.76173,1000,831.720811
996.347784,1000,833.580908
887.476273,1000,834.171756
1093.799336,1000,835.922501
854.115594,1000,836.5336
1020.79884,1000,838.272959
1000.253377,1000,838.869032
726.669226,1000,839.460294
1139.839338,1000,841.205076
931.039653,1000,841.820233
1105.944233,1000,843.569028
1137.367794,1000,844.168101
1097.797856,1000,845.923322
1147.383451,1000,846.526097
966.116025,1000,848.26408
1057.611133,1000,848.856066
1099.048627,1000,850.603022
806.538756,1000,851.205726
1090.231706,1000,852.963175
1096.66555,1000,853.565149
1061.863743,1000,855.335739
974.626709,1000,855.934248
803.947706,1000,857.762014
994.732724,1000,858.435322
942.220831,1000,860.21924
1021.076463,1000,860.816918
1094.65069,1000,862.577291
1068.570123,1000,863.168193
633.262051,1000,865.168631
1060.836599,1000,865.768666
906.651416,1000,867.513768
1057.655368,1000,868.11196
1227.102661,1000,869.839832
1113.597348,1000,870.42715
944.058074,1000,872.163021
647.374308,1000,872.774251
1136.417776,1000,874.522869
656.951444,1000,875.122085
1066.679886,1000,876.862071
1146.778962,1000,877.452192
1059.823218,1000,879.196558
844.8548,1000,879.786504
993.435776,1000,881.540324
1068.818735,1000,882.138426
895.255256,1000,883.895446
1109.085939,1000,884.485011
1103.647834,1000,886.226455
1106.439569,1000,886.830021
