#{"t_start": 1622654718.476987, "env_id": "CartPole-v1"}
r,l,t
500.0,500,301.279853
500.0,500,301.507214
500.0,500,301.718071
500.0,500,301.931034
500.0,500,303.181252
500.0,500,303.389352
500.0,500,303.603733
500.0,500,303.811096
500.0,500,305.056594
500.0,500,305.264347
500.0,500,305.478722
500.0,500,305.70284
500.0,500,306.948197
500.0,500,307.157792
500.0,500,307.365917
500.0,500,307.582822
500.0,500,308.830689
500.0,500,309.044167
500.0,500,309.252621
500.0,500,309.472002
500.0,500,309.682728
500.0,500,310.933199
500.0,500,311.150761
500.0,500,311.360173
500.0,500,311.577575
500.0,500,312.825829
500.0,500,313.039564
500.0,500,313.246903
500.0,500,313.461742
500.0,500,314.799673
500.0,500,315.014787
500.0,500,315.224965
500.0,500,315.444063
500.0,500,316.704225
500.0,500,316.920577
500.0,500,317.176572
500.0,500,317.388089
500.0,500,318.63364
500.0,500,318.843994
500.0,500,319.058413
500.0,500,319.267077
500.0,500,320.519957
500.0,500,320.730044
500.0,500,320.943698
500.0,500,321.153308
500.0,500,322.392879
500.0,500,322.610084
500.0,500,322.820428
500.0,500,323.033696
500.0,500,324.270684
500.0,500,324.486042
500.0,500,324.70233
500.0,500,324.91916
500.0,500,326.176807
500.0,500,326.384874
500.0,500,326.602601
500.0,500,326.811786
500.0,500,328.059849
500.0,500,328.267779
500.0,500,328.481576
500.0,500,328.6913
500.0,500,329.937697
500.0,500,330.147161
500.0,500,330.355805
500.0,500,330.573496
500.0,500,330.787227
500.0,500,332.041654
500.0,500,332.249328
500.0,500,332.466554
500.0,500,332.683655
500.0,500,333.938809
500.0,500,334.147165
500.0,500,334.354601
500.0,500,334.574216
500.0,500,335.836058
500.0,500,336.051285
500.0,500,336.26033
500.0,500,336.474829
500.0,500,337.718135
500.0,500,337.934762
500.0,500,338.144329
500.0,500,338.35396
500.0,500,339.826969
500.0,500,340.041135
500.0,500,340.250179
500.0,500,340.464734
500.0,500,341.735157
500.0,500,341.951414
500.0,500,342.161273
500.0,500,342.368763
500.0,500,343.618217
500.0,500,343.827583
500.0,500,344.042284
500.0,500,344.250378
500.0,500,345.507342
500.0,500,345.728962
500.0,500,345.943431
500.0,500,346.152803
500.0,500,347.387395
500.0,500,347.602848
500.0,500,347.868717
500.0,500,348.085058
500.0,500,349.390689
500.0,500,349.608
500.0,500,349.820241
500.0,500,350.033412
500.0,500,350.242362
500.0,500,351.499357
500.0,500,351.712022
500.0,500,351.926635
500.0,500,352.135453
500.0,500,353.380581
500.0,500,353.597004
500.0,500,353.811356
500.0,500,354.024864
500.0,500,355.267544
500.0,500,355.489245
500.0,500,355.712463
500.0,500,355.926487
500.0,500,357.178319
500.0,500,357.384818
500.0,500,357.602976
500.0,500,357.812963
500.0,500,359.053588
500.0,500,359.261439
500.0,500,359.473491
500.0,500,359.683854
500.0,500,360.924041
500.0,500,361.13182
500.0,500,361.341246
500.0,500,361.563439
500.0,500,362.824068
500.0,500,363.039608
500.0,500,363.247212
500.0,500,363.462524
500.0,500,364.707419
500.0,500,364.918671
500.0,500,365.129573
500.0,500,365.338756
500.0,500,366.674776
500.0,500,366.882807
500.0,500,367.09973
500.0,500,367.308247
500.0,500,368.553629
500.0,500,368.766629
500.0,500,368.982343
500.0,500,369.19105
500.0,500,370.435127
500.0,500,370.644674
500.0,500,370.856676
500.0,500,371.075704
500.0,500,371.290264
500.0,500,372.551414
500.0,500,372.764515
500.0,500,372.98059
500.0,500,373.190165
500.0,500,374.440946
500.0,500,374.658633
500.0,500,374.880775
500.0,500,375.09767
500.0,500,376.338681
500.0,500,376.554169
500.0,500,376.764563
500.0,500,376.977671
500.0,500,378.215833
500.0,500,378.429544
500.0,500,378.63937
500.0,500,378.851332
500.0,500,380.134459
500.0,500,380.342213
500.0,500,380.555358
500.0,500,380.765261
500.0,500,382.014022
500.0,500,382.222231
500.0,500,382.441524
500.0,500,382.653175
500.0,500,383.927876
500.0,500,384.147695
500.0,500,384.35626
500.0,500,384.577084
500.0,500,385.852727
500.0,500,386.069079
